column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
ymdF,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,cell adhesion involved in single-species biofilm formation,,
lolC,lipoprotein release complex,protein localization to outer membrane // lipoprotein transport // lipoprotein localization to outer membrane,lipoprotein posttranslational modification (Gram-negative bacteria),
rho,transcription termination factor Rho,DNA-templated transcription termination,,
ssrA,tmRNA,rescue of stalled ribosome // trans-translation-dependent protein tagging // trans-translation,,
yibJ,putative RHS domain-containing protein YibJ,,,
intA,CP4-57 prophage; integrase IntA,viral genome integration into host DNA // symbiont entry into host cell // establishment of integrated proviral latency // DNA integration // DNA recombination // provirus excision,,
cycA,D-serine/alanine/glycine:H<sup>+</sup>symporter,transmembrane transport // amino acid transport // D-alanine transmembrane transport // L-alanine transport // beta-alanine transport // glycine transport // D-serine transmembrane transport,,
abrB,putative regulator,regulation of gene expression,,
zupT,divalent metal ion transporter ZupT,iron ion transport // zinc ion transport // cobalt ion transport // zinc ion import across plasma membrane // iron ion import across plasma membrane // zinc ion transmembrane transport // transmembrane transport // metal ion transport,,
ansP,L-asparagine transporter,transmembrane transport // amino acid transport,,
wbbK,putative glycosyltransferase WbbK,lipopolysaccharide biosynthetic process,,
wzzB,O-antigen co-polymerase,lipopolysaccharide biosynthetic process,,
murD,UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,cell wall organization // biosynthetic process // cell division // regulation of cell shape // peptidoglycan biosynthetic process,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing),LexA DNA-binding-site 3 bases downstream of ftsLp2 // MraZ DNA-binding-site 18 bases downstream of mraZp // MraZ DNA-binding-site 8 bases downstream of mraZp // MraZ DNA-binding-site 3 bases upstream of mraZp // PdhR DNA-binding-site 42 bases upstream of mraZp
rodZ,cytoskeleton protein RodZ,peptidoglycan biosynthetic process // FtsZ-dependent cytokinesis // regulation of cell shape,,
mutL,methyl-directed mismatch repair system,"nucleotide-excision repair, DNA duplex unwinding // regulation of DNA recombination // DNA repair // mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication // mismatch repair",,
yibX,protein YibX-S,,,
def,peptide deformylase,translation // co-translational protein modification // N-terminal protein amino acid modification,,
lspA,lipoprotein signal peptidase,proteolysis // lipoprotein biosynthetic process via signal peptide cleavage,lipoprotein posttranslational modification (Gram-negative bacteria),
cbrC,PF03691 family colicin E2 tolerance protein CbrC,bacteriocin immunity,,
sgcX,KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain,proteolysis,,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)
abpA,CP4-57 prophage; anti-bacteriophage protein,defense response to virus,,
intZ,CPZ-55 prophage; putative phage integrase IntZ,viral genome integration into host DNA // establishment of integrated proviral latency // symbiont entry into host cell // DNA integration // DNA recombination,,
rbsB,ribose ABC transporter,chemotaxis // D-ribose transmembrane transport // positive chemotaxis,,RbsR DNA-binding-site 8.5 bases downstream of rbsDp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rbsDp
rpe,ribulose-phosphate 3-epimerase,"pentose-phosphate shunt // carbohydrate metabolic process // pentose catabolic process // pentose-phosphate shunt, non-oxidative branch",pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch) I,
tar,chemotaxis signaling complex core unit - aspartate sensing,positive regulation of post-translational protein modification // cellular response to amino acid stimulus // regulation of chemotaxis // detection of chemical stimulus // signal complex assembly // signal transduction // protein homooligomerization // chemotaxis,,Fnr DNA-binding-site regulating tarp
rnlA,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system // RnlA-RnlB toxin-antitoxin complex",regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // defense response to virus // mRNA catabolic process,,IscR DNA-binding-site 29.5 bases upstream of rnlAp2
hyfF,hydrogenase 4,anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // DNA damage response,,Fnr DNA-binding-site 105.5 bases upstream of hyfAp // HyfR DNA-binding-site 129.5 bases upstream of hyfAp // FhlA-formate DNA-binding-site 130 bases upstream of hyfAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of hyfAp
rcsA,RcsAB DNA-binding transcriptional dual regulator,positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // regulation of bacterial-type flagellum-dependent cell motility // regulation of capsule organization // regulation of DNA-templated transcription // DNA-templated transcription,,H-NS DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 125 bases upstream of rcsAp // GadE DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 172 bases upstream of rcsAp
ychO,putative invasin YchO,,,Fnr DNA-binding-site regulating ychOp
pgpB,phosphatidylglycerophosphatase B,phospholipid catabolic process // phosphatidylglycerol biosynthetic process // peptidoglycan biosynthetic process // glycerophospholipid biosynthetic process,"superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I // polyisoprenoid biosynthesis (<i>E. coli</i>) // di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",
gyrA,DNA gyrase,chromosome organization // response to xenobiotic stimulus // negative regulation of DNA-templated DNA replication // DNA-templated DNA replication // DNA topological change // response to antibiotic // DNA-templated transcription,,Fis DNA-binding-site 42.5 bases upstream of gyrAp // CspA DNA-binding-site 108 bases upstream of gyrAp // CspA DNA-binding-site 88 bases upstream of gyrAp // CspA DNA-binding-site 60 bases upstream of gyrAp
alaA,glutamate&mdash;pyruvate aminotransferase AlaA,amino acid biosynthetic process // biosynthetic process // alanine biosynthetic process // D-alanine biosynthetic process // DNA damage response // response to antibiotic // L-alanine biosynthetic process from pyruvate,superpathway of L-alanine biosynthesis // L-alanine biosynthesis II,
yciQ,DUF2207 domain-containing protein YciQ,,,
ppdC,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,,,
ynaE,Rac prophage; uncharacterized protein YnaE,response to cold,,GlaR DNA-binding-site regulating ynaE
oppA,oligopeptide ABC transporter,oligopeptide import across plasma membrane // transmembrane transport // peptide transport // protein transport // chaperone-mediated protein folding // response to heat // oligopeptide transport,,DNA-binding transcriptional dual regulator Fur DNA-binding-site 136 bases upstream of oppAp // Lrp DNA-binding-site 1818 bases upstream of oppAp // ArcA-Pasp54 DNA-binding-site regulating oppAp
acnB,bifunctional aconitate hydratase B/2-methylisocitrate dehydratase,"glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I",ArcA-Pasp54 DNA-binding-site 48 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 57 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 119 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 113 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 139 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 143 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 170 bases upstream of acnBp1 // Fis DNA-binding-site 29.5 bases upstream of acnBp1 // Fis DNA-binding-site 73.5 bases upstream of acnBp1 // Fis DNA-binding-site 171.5 bases upstream of acnBp1 // Cra DNA-binding-site regulating acnBp1 // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of acnBp1
gltT,tRNA-Glu(UUC),,polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,Fis DNA-binding-site 143 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // NhaR-Na+ DNA-binding-site regulating rrsBp2 // NhaR-Na+ DNA-binding-site regulating rrsBp1 // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 143 bases upstream of rrsBp
ffh,Signal Recognition Particle,SRP-dependent cotranslational protein targeting to membrane // protein targeting to membrane,,
mntH,Mn(2+):H(+) symporter,iron ion transmembrane transport // proton transmembrane transport // cadmium ion transmembrane transport // manganese ion transport // iron ion transport // cobalt ion transport // cadmium ion transport // monoatomic ion transport // metal ion transport // manganese import into cell // cellular response to oxidative stress,,OxyR DNA-binding-site 76 bases upstream of mntHp // OxyR DNA-binding-site 54 bases upstream of mntHp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 31.5 bases upstream of mntHp // MntR DNA-binding-site 5.5 bases downstream of mntHp
ydhQ,putative adhesin-related protein YdhQ,DNA damage response,,
fliC,flagellum,,,MatA DNA-binding-site regulating fliCp // GadE DNA-binding-site regulating fliCp
rrlE,23S ribosomal RNA,translation,,Fis DNA-binding-site 170 bases upstream of rrsEp3 // Fis DNA-binding-site 143 bases upstream of rrsEp3 // Fis DNA-binding-site 117 bases upstream of rrsEp3 // Fis DNA-binding-site 101 bases upstream of rrsEp3 // Fis DNA-binding-site 72 bases upstream of rrsEp3 // NhaR-Na+ DNA-binding-site regulating rrsEp2 // NhaR-Na+ DNA-binding-site regulating rrsEp1 // Fis DNA-binding-site 72 bases upstream of rrsEp3 // Fis DNA-binding-site 101 bases upstream of rrsEp3 // Fis DNA-binding-site 117 bases upstream of rrsEp3 // Fis DNA-binding-site 143 bases upstream of rrsEp3 // Fis DNA-binding-site 170 bases upstream of rrsEp3
nadK,NAD kinase,NAD metabolic process // NADP biosynthetic process,NAD phosphorylation and dephosphorylation,
bax,putative glycoside hydrolase Bax,,,
rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",dTDP-rhamnose biosynthetic process // extracellular polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // O antigen biosynthetic process // response to UV // response to antibiotic // DNA damage response,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>) // dTDP-L-rhamnose biosynthesis,
radA,DNA recombination protein,response to radiation // DNA repair // recombinational repair,,
glf,UDP-galactopyranose mutase,lipopolysaccharide biosynthetic process,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>),
trpD,anthranilate synthase subunit TrpE // anthranilate synthase subunit TrpD,phenazine biosynthetic process // glutamine metabolic process // tryptophan biosynthetic process,L-glutamine degradation I // L-glutamate biosynthesis I // ammonia assimilation cycle III // superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis,TrpR-trp DNA-binding-site 11.5 bases upstream of trpLp // TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp // TrpR-trp DNA-binding-site 19.5 bases upstream of trpLp
rrsB,16S ribosomal RNA,translation,,Fis DNA-binding-site 143 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // NhaR-Na+ DNA-binding-site regulating rrsBp2 // NhaR-Na+ DNA-binding-site regulating rrsBp1 // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 143 bases upstream of rrsBp
rtcR,DNA-binding transcriptional activator RtcR,regulation of DNA-templated transcription // phosphorelay signal transduction system // positive regulation of DNA-templated transcription,,
gabP,4-aminobutanoate:H<sup>+</sup> symporter,transmembrane transport // gamma-aminobutyric acid catabolic process // DNA damage response // amino acid transport // cellular response to nitrogen starvation // response to carbon starvation // gamma-aminobutyric acid transport,,Nac DNA-binding-site 44 bases upstream of gabDp // GlaR DNA-binding-site 32 bases upstream of csiDp // GlaR DNA-binding-site 13 bases upstream of csiDp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp // Lrp-leu DNA-binding-site regulating csiDp // H-NS DNA-binding-site regulating csiDp // Nac DNA-binding-site 44 bases upstream of gabDp
entF,seryl-[EntF peptidyl-carrier protein],secondary metabolite biosynthetic process // biosynthetic process // amino acid activation for nonribosomal peptide biosynthetic process // enterobactin biosynthetic process,superpathway of chorismate metabolism // acyl carrier protein metabolism // enterobactin biosynthesis,H-NS DNA-binding-site 0.5 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 28 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 9 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 21 bases upstream of fesp // Fnr DNA-binding-site 143.5 bases upstream of fesp
yqiI,putative fimbrial protein YqiI,cell adhesion // response to methylglyoxal,,
idi,isopentenyl-diphosphate &Delta;-isomerase,dimethylallyl diphosphate biosynthetic process // DNA damage response // isoprenoid biosynthetic process,methylerythritol phosphate pathway I,
gltW,tRNA-Glu(UUC),,polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
rrlG,23S ribosomal RNA,translation,,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
dgcQ,diguanylate cyclase DgcQ,cell adhesion involved in single-species biofilm formation // cellulose biosynthetic process // negative regulation of bacterial-type flagellum-dependent cell motility,,
rrsA,ribosome,,,Fis DNA-binding-site 133 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // NhaR-Na+ DNA-binding-site regulating rrsAp2 // NhaR-Na+ DNA-binding-site regulating rrsAp1 // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 133 bases upstream of rrsAp
ynjF,CDP-alcohol phosphatidyltransferase domain-containing protein YnjF,phospholipid biosynthetic process,,
aldA,"aldehyde dehydrogenase A, NAD-linked",gamma-aminobutyric acid catabolic process // fucose catabolic process // rhamnose catabolic process // L-fucose catabolic process,superpathway of fucose and rhamnose degradation // methylglyoxal degradation IV // superpathway of methylglyoxal degradation // L-lactaldehyde degradation (aerobic) // superpathway of glycol metabolism and degradation // ethylene glycol degradation // D-arabinose degradation II,SoxS DNA-binding-site 161 bases upstream of aldAp // Rob DNA-binding-site 161 bases upstream of aldAp // MarA DNA-binding-site 161 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 157 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 5 bases upstream of aldAp // DnaA-ATP DNA-binding-site 7.5 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 2 bases downstream of aldAp // ArcA-Pasp54 DNA-binding-site 13 bases downstream of aldAp // ArcA-Pasp54 DNA-binding-site 137 bases upstream of aldAp // Fnr DNA-binding-site 10.5 bases upstream of aldAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of aldAp
rrlD,23S ribosomal RNA,translation,,Fis DNA-binding-site 174 bases upstream of rrsDp // Fis DNA-binding-site 144 bases upstream of rrsDp // Fis DNA-binding-site 126 bases upstream of rrsDp // Fis DNA-binding-site 91 bases upstream of rrsDp // Fis DNA-binding-site 71 bases upstream of rrsDp // NhaR-Na+ DNA-binding-site regulating rrsDp2 // NhaR-Na+ DNA-binding-site regulating rrsDp1 // Fis DNA-binding-site 71 bases upstream of rrsDp // Fis DNA-binding-site 91 bases upstream of rrsDp // Fis DNA-binding-site 126 bases upstream of rrsDp // Fis DNA-binding-site 144 bases upstream of rrsDp // Fis DNA-binding-site 174 bases upstream of rrsDp
