column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
dnaK,chaperone protein DnaK,protein refolding // protein-containing complex assembly // negative regulation of DNA-templated transcription // DNA replication // stress response to copper ion // protein folding // chaperone cofactor-dependent protein refolding // cellular response to unfolded protein // protein unfolding // response to heat,,
yohC,putative inner membrane protein,DNA damage response,,
nanY,"KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase",DNA damage response // N-acetylneuraminate catabolic process,,NanR DNA-binding-site 376.5 bases upstream of yjhBp2 // NanR DNA-binding-site 384.5 bases upstream of yjhBp2 // NanR DNA-binding-site 393.5 bases upstream of yjhBp2
ynfD,DUF1161 domain-containing protein YnfD,,,
wbbH,putative O-antigen polymerase,lipopolysaccharide biosynthetic process,,
puuB,&gamma;-glutamylputrescine oxidase,putrescine catabolic process,"superpathway of L-arginine and L-ornithine degradation // superpathway of ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // putrescine degradation II",CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of puuDp // PuuR DNA-binding-site 161.5 bases upstream of puuAp // PuuR DNA-binding-site 126.5 bases upstream of puuAp // PuuR DNA-binding-site 84.5 bases upstream of puuAp // PuuR DNA-binding-site 11.5 bases downstream of puuAp // ArcA-Pasp54 DNA-binding-site 82 bases downstream of puuDp // PtrR-gln DNA-binding-site regulating puuCp
fhuA,ferrichrome outer membrane transport complex,iron ion transport // intracellular iron ion homeostasis // siderophore-dependent iron import into cell // siderophore transport // siderophore transmembrane transport,,DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fhuACDB (BS0-10960) // DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fhuACDB (BS0-10871) // DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases upstream of fhuAp
zapA,cell division protein ZapA,cell septum assembly // septin ring assembly // division septum assembly // FtsZ-dependent cytokinesis // cell division,,
rsmJ,16S rRNA m<sup>2</sup>G1516 methyltransferase,methylation // rRNA processing // rRNA methylation // rRNA base methylation,,
efeU,inactive ferrous iron permease EfeU,iron ion transmembrane transport,,CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp
narQ,sensor histidine kinase NarQ,phosphorelay signal transduction system // signal transduction // nitrate assimilation // cellular response to nitrate // cellular response to nitrite,"NarQ Two-Component Signal Transduction System, nitrate dependent",CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 0.5 bases upstream of narQp
rrsG,16S ribosomal RNA,translation,,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
fliD,flagellum,cell adhesion // bacterial-type flagellum-dependent cell motility,,FlhDC DNA-binding-site 55 bases upstream of fliDp2
purR,DNA-binding transcriptional repressor PurR-hypoxanthine,regulation of DNA-templated transcription // purine nucleotide biosynthetic process // negative regulation of purine nucleotide biosynthetic process // negative regulation of DNA-templated transcription,,PurR-hypoxanthine DNA-binding-site 191.5 bases downstream of purRp // PurR-hypoxanthine DNA-binding-site 103.5 bases downstream of purRp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 49 bases upstream of purRp
appY,DLP12 prophage; DNA-binding transcriptional activator AppY,regulation of DNA-templated transcription // response to X-ray // cellular response to phosphate starvation // positive regulation of DNA-templated transcription,,ArcA-Pasp54 DNA-binding-site 197 bases upstream of appYp2 // DpiA-Pasp DNA-binding-site regulating appYp1 // H-NS DNA-binding-site regulating appYp1
ftnB,putative ferritin-like protein,intracellular sequestering of iron ion,,CpxR-phosphorylated DNA-binding-site 61 bases upstream of ftnBp2
folX,dihydroneopterin triphosphate 2'-epimerase,pteridine-containing compound biosynthetic process // folic acid-containing compound metabolic process,tetrahydromonapterin biosynthesis,
argH,argininosuccinate lyase,arginine biosynthetic process via ornithine // arginine biosynthetic process,superpathway of arginine and polyamine biosynthesis // L-arginine biosynthesis I (via L-ornithine),ArgR-arg DNA-binding-site 6.5 bases upstream of argEp1 // ArgR-arg DNA-binding-site 16.5 bases downstream of argEp1
nrdA,ribonucleoside-diphosphate reductase 1,protein folding // 2'-deoxyribonucleotide biosynthetic process // ribonucleoside diphosphate metabolic process // deoxyribonucleotide biosynthetic process // nucleobase-containing small molecule interconversion,"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II",H-NS DNA-binding-site 415 bases upstream of nrdAp // H-NS DNA-binding-site 439 bases upstream of nrdAp // ArgP DNA-binding-site 334.5 bases upstream of nrdAp // ArgP DNA-binding-site 281.5 bases upstream of nrdAp // ArgP DNA-binding-site 244.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 14 bases upstream of nrdAp // NrdR transcriptional repressor DNA-binding-site 25.5 bases downstream of nrdAp // NrdR transcriptional repressor DNA-binding-site 7.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 36.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 48 bases upstream of nrdAp // Fis DNA-binding-site 156 bases upstream of nrdAp // ArgP DNA-binding-site 163.5 bases upstream of nrdAp // ArgP DNA-binding-site 190.5 bases upstream of nrdAp // ArgP DNA-binding-site 218.5 bases upstream of nrdAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 136.5 bases upstream of nrdAp // Fis DNA-binding-site 128 bases upstream of nrdAp // Fis DNA-binding-site 199 bases upstream of nrdAp // Fis DNA-binding-site 269 bases upstream of nrdAp // Fis DNA-binding-site 323 bases upstream of nrdAp
mdtF,multidrug efflux pump MdtEF-TolC,xenobiotic transmembrane transport // transmembrane transport // xenobiotic transport // response to toxic substance // bile acid and bile salt transport // response to antibiotic,,FliZ DNA-binding-site 9.5 bases downstream of gadEp2 // GadW DNA-binding-site 574.5 bases upstream of gadEp2 // GadX DNA-binding-site 29.5 bases upstream of gadEp3 // H-NS DNA-binding-site regulating gadEp2 // GadX DNA-binding-site 50.5 bases upstream of gadEp3 // GadW DNA-binding-site 595.5 bases upstream of gadEp2 // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 19.5 bases upstream of gadEp2 // GadE DNA-binding-site 30.5 bases upstream of gadEp2 // GadE DNA-binding-site 63.5 bases upstream of gadEp2 // GadE DNA-binding-site 198.5 bases upstream of gadEp2 // EvgA-Pasp DNA-binding-site regulating gadEp2 // YdeO DNA-binding-site regulating gadEp2
gpr,L-glyceraldehyde 3-phosphate reductase,DNA damage response // methylglyoxal catabolic process,superpathway of methylglyoxal degradation // methylglyoxal degradation III,
ycjG,L-Ala-D/L-Glu epimerase,cell wall organization // amino acid catabolic process // peptidoglycan turnover,muropeptide degradation,PgrR DNA-binding-site regulating ycjGp
deaD,ATP-dependent RNA helicase DeaD,response to cold // mRNA stabilization // response to radiation // positive regulation of translation // ribosomal large subunit assembly // RNA catabolic process // cellular response to cold,,
appC,cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase,transmembrane transport // aerobic electron transport chain // oxidative phosphorylation,,AppY DNA-binding-site regulating appCp2 // YdeO DNA-binding-site 27.5 bases upstream of appCp2 // YdeO DNA-binding-site 27.5 bases upstream of appCp2 // AppY DNA-binding-site regulating appCp2
cyoA,cytochrome <i>bo<sub>3</sub></i> ubiquinol:oxygen oxidoreductase,ATP synthesis coupled electron transport // electron transport chain // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain,proline to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer II // NADH to cytochrome <i>bo</i> oxidase electron transfer I // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer,Cra DNA-binding-site regulating cyoAp (BS0-10977) // HprR-P DNA-binding-site 69.5 bases downstream of cyoAp // CusR-Pasp DNA-binding-site 69.5 bases downstream of cyoAp // Cra DNA-binding-site 268.5 bases upstream of cyoAp // PdhR DNA-binding-site 177 bases upstream of cyoAp // Fnr DNA-binding-site 192.5 bases upstream of cyoAp // ArcA-Pasp54 DNA-binding-site 200 bases upstream of cyoAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 213 bases upstream of cyoAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 191.5 bases upstream of cyoAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of cyoAp
metA,homoserine O-succinyltransferase,L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine // methionine biosynthetic process,"aspartate superpathway // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // L-methionine biosynthesis I",MetJ-SAM DNA-binding-site 20.5 bases downstream of metAp1 // MetJ-SAM DNA-binding-site 4.5 bases downstream of metAp1
ymdF,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,cell adhesion involved in single-species biofilm formation,,
lolC,lipoprotein release complex,protein localization to outer membrane // lipoprotein transport // lipoprotein localization to outer membrane,lipoprotein posttranslational modification (Gram-negative bacteria),
rho,transcription termination factor Rho,DNA-templated transcription termination,,
ssrA,tmRNA,rescue of stalled ribosome // trans-translation-dependent protein tagging // trans-translation,,
yibJ,putative RHS domain-containing protein YibJ,,,
intA,CP4-57 prophage; integrase IntA,viral genome integration into host DNA // symbiont entry into host cell // establishment of integrated proviral latency // DNA integration // DNA recombination // provirus excision,,
cycA,D-serine/alanine/glycine:H<sup>+</sup>symporter,transmembrane transport // amino acid transport // D-alanine transmembrane transport // L-alanine transport // beta-alanine transport // glycine transport // D-serine transmembrane transport,,
abrB,putative regulator,regulation of gene expression,,
zupT,divalent metal ion transporter ZupT,iron ion transport // zinc ion transport // cobalt ion transport // zinc ion import across plasma membrane // iron ion import across plasma membrane // zinc ion transmembrane transport // transmembrane transport // metal ion transport,,
ansP,L-asparagine transporter,transmembrane transport // amino acid transport,,
wbbK,putative glycosyltransferase WbbK,lipopolysaccharide biosynthetic process,,
wzzB,O-antigen co-polymerase,lipopolysaccharide biosynthetic process,,
murD,UDP-<i>N</i>-acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,cell wall organization // biosynthetic process // cell division // regulation of cell shape // peptidoglycan biosynthetic process,peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing),LexA DNA-binding-site 3 bases downstream of ftsLp2 // MraZ DNA-binding-site 18 bases downstream of mraZp // MraZ DNA-binding-site 8 bases downstream of mraZp // MraZ DNA-binding-site 3 bases upstream of mraZp // PdhR DNA-binding-site 42 bases upstream of mraZp
rodZ,cytoskeleton protein RodZ,peptidoglycan biosynthetic process // FtsZ-dependent cytokinesis // regulation of cell shape,,
mutL,methyl-directed mismatch repair system,"nucleotide-excision repair, DNA duplex unwinding // regulation of DNA recombination // DNA repair // mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication // mismatch repair",,
yibX,protein YibX-S,,,
def,peptide deformylase,translation // co-translational protein modification // N-terminal protein amino acid modification,,
lspA,lipoprotein signal peptidase,proteolysis // lipoprotein biosynthetic process via signal peptide cleavage,lipoprotein posttranslational modification (Gram-negative bacteria),
cbrC,PF03691 family colicin E2 tolerance protein CbrC,bacteriocin immunity,,
sgcX,KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain,proteolysis,,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)
abpA,CP4-57 prophage; anti-bacteriophage protein,defense response to virus,,
intZ,CPZ-55 prophage; putative phage integrase IntZ,viral genome integration into host DNA // establishment of integrated proviral latency // symbiont entry into host cell // DNA integration // DNA recombination,,
rbsB,ribose ABC transporter,chemotaxis // D-ribose transmembrane transport // positive chemotaxis,,RbsR DNA-binding-site 8.5 bases downstream of rbsDp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of rbsDp
rpe,ribulose-phosphate 3-epimerase,"pentose-phosphate shunt // carbohydrate metabolic process // pentose catabolic process // pentose-phosphate shunt, non-oxidative branch",pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch) I,
tar,chemotaxis signaling complex core unit - aspartate sensing,positive regulation of post-translational protein modification // cellular response to amino acid stimulus // regulation of chemotaxis // detection of chemical stimulus // signal complex assembly // signal transduction // protein homooligomerization // chemotaxis,,Fnr DNA-binding-site regulating tarp
rnlA,"CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system // RnlA-RnlB toxin-antitoxin complex",regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // defense response to virus // mRNA catabolic process,,IscR DNA-binding-site 29.5 bases upstream of rnlAp2
hyfF,hydrogenase 4,anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // DNA damage response,,Fnr DNA-binding-site 105.5 bases upstream of hyfAp // HyfR DNA-binding-site 129.5 bases upstream of hyfAp // FhlA-formate DNA-binding-site 130 bases upstream of hyfAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of hyfAp
rcsA,RcsAB DNA-binding transcriptional dual regulator,positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // regulation of bacterial-type flagellum-dependent cell motility // regulation of capsule organization // regulation of DNA-templated transcription // DNA-templated transcription,,H-NS DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 125 bases upstream of rcsAp // GadE DNA-binding-site regulating rcsAp // RcsAB DNA-binding-site 172 bases upstream of rcsAp
ychO,putative invasin YchO,,,Fnr DNA-binding-site regulating ychOp
pgpB,phosphatidylglycerophosphatase B,phospholipid catabolic process // phosphatidylglycerol biosynthetic process // peptidoglycan biosynthetic process // glycerophospholipid biosynthetic process,"superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cardiolipin biosynthesis III // cardiolipin biosynthesis I // polyisoprenoid biosynthesis (<i>E. coli</i>) // di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",
gyrA,DNA gyrase,chromosome organization // response to xenobiotic stimulus // negative regulation of DNA-templated DNA replication // DNA-templated DNA replication // DNA topological change // response to antibiotic // DNA-templated transcription,,Fis DNA-binding-site 42.5 bases upstream of gyrAp // CspA DNA-binding-site 108 bases upstream of gyrAp // CspA DNA-binding-site 88 bases upstream of gyrAp // CspA DNA-binding-site 60 bases upstream of gyrAp
alaA,glutamate&mdash;pyruvate aminotransferase AlaA,amino acid biosynthetic process // biosynthetic process // alanine biosynthetic process // D-alanine biosynthetic process // DNA damage response // response to antibiotic // L-alanine biosynthetic process from pyruvate,superpathway of L-alanine biosynthesis // L-alanine biosynthesis II,
yciQ,DUF2207 domain-containing protein YciQ,,,
ppdC,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,,,
ynaE,Rac prophage; uncharacterized protein YnaE,response to cold,,GlaR DNA-binding-site regulating ynaE
oppA,oligopeptide ABC transporter,oligopeptide import across plasma membrane // transmembrane transport // peptide transport // protein transport // chaperone-mediated protein folding // response to heat // oligopeptide transport,,DNA-binding transcriptional dual regulator Fur DNA-binding-site 136 bases upstream of oppAp // Lrp DNA-binding-site 1818 bases upstream of oppAp // ArcA-Pasp54 DNA-binding-site regulating oppAp
acnB,bifunctional aconitate hydratase B/2-methylisocitrate dehydratase,"glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I",ArcA-Pasp54 DNA-binding-site 48 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 57 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 119 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 113 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 139 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 143 bases upstream of acnBp1 // ArcA-Pasp54 DNA-binding-site 170 bases upstream of acnBp1 // Fis DNA-binding-site 29.5 bases upstream of acnBp1 // Fis DNA-binding-site 73.5 bases upstream of acnBp1 // Fis DNA-binding-site 171.5 bases upstream of acnBp1 // Cra DNA-binding-site regulating acnBp1 // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of acnBp1
