column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
gltT,tRNA-Glu(UUC),,polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,Fis DNA-binding-site 143 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // NhaR-Na+ DNA-binding-site regulating rrsBp2 // NhaR-Na+ DNA-binding-site regulating rrsBp1 // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 143 bases upstream of rrsBp
ffh,Signal Recognition Particle,SRP-dependent cotranslational protein targeting to membrane // protein targeting to membrane,,
mntH,Mn(2+):H(+) symporter,iron ion transmembrane transport // proton transmembrane transport // cadmium ion transmembrane transport // manganese ion transport // iron ion transport // cobalt ion transport // cadmium ion transport // monoatomic ion transport // metal ion transport // manganese import into cell // cellular response to oxidative stress,,OxyR DNA-binding-site 76 bases upstream of mntHp // OxyR DNA-binding-site 54 bases upstream of mntHp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 31.5 bases upstream of mntHp // MntR DNA-binding-site 5.5 bases downstream of mntHp
ydhQ,putative adhesin-related protein YdhQ,DNA damage response,,
fliC,flagellum,,,MatA DNA-binding-site regulating fliCp // GadE DNA-binding-site regulating fliCp
rrlE,23S ribosomal RNA,translation,,Fis DNA-binding-site 170 bases upstream of rrsEp3 // Fis DNA-binding-site 143 bases upstream of rrsEp3 // Fis DNA-binding-site 117 bases upstream of rrsEp3 // Fis DNA-binding-site 101 bases upstream of rrsEp3 // Fis DNA-binding-site 72 bases upstream of rrsEp3 // NhaR-Na+ DNA-binding-site regulating rrsEp2 // NhaR-Na+ DNA-binding-site regulating rrsEp1 // Fis DNA-binding-site 72 bases upstream of rrsEp3 // Fis DNA-binding-site 101 bases upstream of rrsEp3 // Fis DNA-binding-site 117 bases upstream of rrsEp3 // Fis DNA-binding-site 143 bases upstream of rrsEp3 // Fis DNA-binding-site 170 bases upstream of rrsEp3
nadK,NAD kinase,NAD metabolic process // NADP biosynthetic process,NAD phosphorylation and dephosphorylation,
bax,putative glycoside hydrolase Bax,,,
rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",dTDP-rhamnose biosynthetic process // extracellular polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // O antigen biosynthetic process // response to UV // response to antibiotic // DNA damage response,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>) // dTDP-L-rhamnose biosynthesis,
radA,DNA recombination protein,response to radiation // DNA repair // recombinational repair,,
glf,UDP-galactopyranose mutase,lipopolysaccharide biosynthetic process,<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>),
trpD,anthranilate synthase subunit TrpE // anthranilate synthase subunit TrpD,phenazine biosynthetic process // glutamine metabolic process // tryptophan biosynthetic process,L-glutamine degradation I // L-glutamate biosynthesis I // ammonia assimilation cycle III // superpathway of chorismate metabolism // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis,TrpR-trp DNA-binding-site 11.5 bases upstream of trpLp // TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp // TrpR-trp DNA-binding-site 19.5 bases upstream of trpLp
rrsB,16S ribosomal RNA,translation,,Fis DNA-binding-site 143 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // NhaR-Na+ DNA-binding-site regulating rrsBp2 // NhaR-Na+ DNA-binding-site regulating rrsBp1 // Lrp-leu DNA-binding-site 269 bases downstream of rrsBp // Lrp-leu DNA-binding-site 75 bases downstream of rrsBp // H-NS DNA-binding-site 83 bases upstream of rrsBp // H-NS DNA-binding-site 50 bases upstream of rrsBp // H-NS DNA-binding-site 26 bases upstream of rrsBp // Lrp-leu DNA-binding-site 53 bases upstream of rrsBp // Fis DNA-binding-site 71 bases upstream of rrsBp // Fis DNA-binding-site 102 bases upstream of rrsBp // Fis DNA-binding-site 143 bases upstream of rrsBp
rtcR,DNA-binding transcriptional activator RtcR,regulation of DNA-templated transcription // phosphorelay signal transduction system // positive regulation of DNA-templated transcription,,
gabP,4-aminobutanoate:H<sup>+</sup> symporter,transmembrane transport // gamma-aminobutyric acid catabolic process // DNA damage response // amino acid transport // cellular response to nitrogen starvation // response to carbon starvation // gamma-aminobutyric acid transport,,Nac DNA-binding-site 44 bases upstream of gabDp // GlaR DNA-binding-site 32 bases upstream of csiDp // GlaR DNA-binding-site 13 bases upstream of csiDp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp // Lrp-leu DNA-binding-site regulating csiDp // H-NS DNA-binding-site regulating csiDp // Nac DNA-binding-site 44 bases upstream of gabDp
entF,seryl-[EntF peptidyl-carrier protein],secondary metabolite biosynthetic process // biosynthetic process // amino acid activation for nonribosomal peptide biosynthetic process // enterobactin biosynthetic process,superpathway of chorismate metabolism // acyl carrier protein metabolism // enterobactin biosynthesis,H-NS DNA-binding-site 0.5 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 28 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 9 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 15 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases upstream of fesp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 21 bases upstream of fesp // Fnr DNA-binding-site 143.5 bases upstream of fesp
yqiI,putative fimbrial protein YqiI,cell adhesion // response to methylglyoxal,,
idi,isopentenyl-diphosphate &Delta;-isomerase,dimethylallyl diphosphate biosynthetic process // DNA damage response // isoprenoid biosynthetic process,methylerythritol phosphate pathway I,
gltW,tRNA-Glu(UUC),,polycistronic tRNA processing I // monocistronic tRNA processing I // monocistronic tRNA processing II // monocistronic tRNA processing III // tRNA processing // uroporphyrinogen-III I (from glutamate) // tRNA charging,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
rrlG,23S ribosomal RNA,translation,,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
dgcQ,diguanylate cyclase DgcQ,cell adhesion involved in single-species biofilm formation // cellulose biosynthetic process // negative regulation of bacterial-type flagellum-dependent cell motility,,
rrsA,ribosome,,,Fis DNA-binding-site 133 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // NhaR-Na+ DNA-binding-site regulating rrsAp2 // NhaR-Na+ DNA-binding-site regulating rrsAp1 // Lrp-leu DNA-binding-site 73 bases upstream of rrsAp // Lrp-leu DNA-binding-site 53 bases upstream of rrsAp // Fis DNA-binding-site 71 bases upstream of rrsAp // Fis DNA-binding-site 91 bases upstream of rrsAp // Fis DNA-binding-site 111 bases upstream of rrsAp // Fis DNA-binding-site 133 bases upstream of rrsAp
ynjF,CDP-alcohol phosphatidyltransferase domain-containing protein YnjF,phospholipid biosynthetic process,,
aldA,"aldehyde dehydrogenase A, NAD-linked",gamma-aminobutyric acid catabolic process // fucose catabolic process // rhamnose catabolic process // L-fucose catabolic process,superpathway of fucose and rhamnose degradation // methylglyoxal degradation IV // superpathway of methylglyoxal degradation // L-lactaldehyde degradation (aerobic) // superpathway of glycol metabolism and degradation // ethylene glycol degradation // D-arabinose degradation II,SoxS DNA-binding-site 161 bases upstream of aldAp // Rob DNA-binding-site 161 bases upstream of aldAp // MarA DNA-binding-site 161 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 157 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 5 bases upstream of aldAp // DnaA-ATP DNA-binding-site 7.5 bases upstream of aldAp // ArcA-Pasp54 DNA-binding-site 2 bases downstream of aldAp // ArcA-Pasp54 DNA-binding-site 13 bases downstream of aldAp // ArcA-Pasp54 DNA-binding-site 137 bases upstream of aldAp // Fnr DNA-binding-site 10.5 bases upstream of aldAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of aldAp
rrlD,23S ribosomal RNA,translation,,Fis DNA-binding-site 174 bases upstream of rrsDp // Fis DNA-binding-site 144 bases upstream of rrsDp // Fis DNA-binding-site 126 bases upstream of rrsDp // Fis DNA-binding-site 91 bases upstream of rrsDp // Fis DNA-binding-site 71 bases upstream of rrsDp // NhaR-Na+ DNA-binding-site regulating rrsDp2 // NhaR-Na+ DNA-binding-site regulating rrsDp1 // Fis DNA-binding-site 71 bases upstream of rrsDp // Fis DNA-binding-site 91 bases upstream of rrsDp // Fis DNA-binding-site 126 bases upstream of rrsDp // Fis DNA-binding-site 144 bases upstream of rrsDp // Fis DNA-binding-site 174 bases upstream of rrsDp
dnaK,chaperone protein DnaK,protein refolding // protein-containing complex assembly // negative regulation of DNA-templated transcription // DNA replication // stress response to copper ion // protein folding // chaperone cofactor-dependent protein refolding // cellular response to unfolded protein // protein unfolding // response to heat,,
yohC,putative inner membrane protein,DNA damage response,,
nanY,"KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase",DNA damage response // N-acetylneuraminate catabolic process,,NanR DNA-binding-site 376.5 bases upstream of yjhBp2 // NanR DNA-binding-site 384.5 bases upstream of yjhBp2 // NanR DNA-binding-site 393.5 bases upstream of yjhBp2
ynfD,DUF1161 domain-containing protein YnfD,,,
wbbH,putative O-antigen polymerase,lipopolysaccharide biosynthetic process,,
puuB,&gamma;-glutamylputrescine oxidase,putrescine catabolic process,"superpathway of L-arginine and L-ornithine degradation // superpathway of ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // putrescine degradation II",CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of puuDp // PuuR DNA-binding-site 161.5 bases upstream of puuAp // PuuR DNA-binding-site 126.5 bases upstream of puuAp // PuuR DNA-binding-site 84.5 bases upstream of puuAp // PuuR DNA-binding-site 11.5 bases downstream of puuAp // ArcA-Pasp54 DNA-binding-site 82 bases downstream of puuDp // PtrR-gln DNA-binding-site regulating puuCp
fhuA,ferrichrome outer membrane transport complex,iron ion transport // intracellular iron ion homeostasis // siderophore-dependent iron import into cell // siderophore transport // siderophore transmembrane transport,,DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fhuACDB (BS0-10960) // DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fhuACDB (BS0-10871) // DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases upstream of fhuAp
zapA,cell division protein ZapA,cell septum assembly // septin ring assembly // division septum assembly // FtsZ-dependent cytokinesis // cell division,,
rsmJ,16S rRNA m<sup>2</sup>G1516 methyltransferase,methylation // rRNA processing // rRNA methylation // rRNA base methylation,,
efeU,inactive ferrous iron permease EfeU,iron ion transmembrane transport,,CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp
narQ,sensor histidine kinase NarQ,phosphorelay signal transduction system // signal transduction // nitrate assimilation // cellular response to nitrate // cellular response to nitrite,"NarQ Two-Component Signal Transduction System, nitrate dependent",CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 0.5 bases upstream of narQp
rrsG,16S ribosomal RNA,translation,,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
fliD,flagellum,cell adhesion // bacterial-type flagellum-dependent cell motility,,FlhDC DNA-binding-site 55 bases upstream of fliDp2
purR,DNA-binding transcriptional repressor PurR-hypoxanthine,regulation of DNA-templated transcription // purine nucleotide biosynthetic process // negative regulation of purine nucleotide biosynthetic process // negative regulation of DNA-templated transcription,,PurR-hypoxanthine DNA-binding-site 191.5 bases downstream of purRp // PurR-hypoxanthine DNA-binding-site 103.5 bases downstream of purRp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 49 bases upstream of purRp
appY,DLP12 prophage; DNA-binding transcriptional activator AppY,regulation of DNA-templated transcription // response to X-ray // cellular response to phosphate starvation // positive regulation of DNA-templated transcription,,ArcA-Pasp54 DNA-binding-site 197 bases upstream of appYp2 // DpiA-Pasp DNA-binding-site regulating appYp1 // H-NS DNA-binding-site regulating appYp1
ftnB,putative ferritin-like protein,intracellular sequestering of iron ion,,CpxR-phosphorylated DNA-binding-site 61 bases upstream of ftnBp2
folX,dihydroneopterin triphosphate 2'-epimerase,pteridine-containing compound biosynthetic process // folic acid-containing compound metabolic process,tetrahydromonapterin biosynthesis,
argH,argininosuccinate lyase,arginine biosynthetic process via ornithine // arginine biosynthetic process,superpathway of arginine and polyamine biosynthesis // L-arginine biosynthesis I (via L-ornithine),ArgR-arg DNA-binding-site 6.5 bases upstream of argEp1 // ArgR-arg DNA-binding-site 16.5 bases downstream of argEp1
nrdA,ribonucleoside-diphosphate reductase 1,protein folding // 2'-deoxyribonucleotide biosynthetic process // ribonucleoside diphosphate metabolic process // deoxyribonucleotide biosynthetic process // nucleobase-containing small molecule interconversion,"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II",H-NS DNA-binding-site 415 bases upstream of nrdAp // H-NS DNA-binding-site 439 bases upstream of nrdAp // ArgP DNA-binding-site 334.5 bases upstream of nrdAp // ArgP DNA-binding-site 281.5 bases upstream of nrdAp // ArgP DNA-binding-site 244.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 14 bases upstream of nrdAp // NrdR transcriptional repressor DNA-binding-site 25.5 bases downstream of nrdAp // NrdR transcriptional repressor DNA-binding-site 7.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 36.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 48 bases upstream of nrdAp // Fis DNA-binding-site 156 bases upstream of nrdAp // ArgP DNA-binding-site 163.5 bases upstream of nrdAp // ArgP DNA-binding-site 190.5 bases upstream of nrdAp // ArgP DNA-binding-site 218.5 bases upstream of nrdAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 136.5 bases upstream of nrdAp // Fis DNA-binding-site 128 bases upstream of nrdAp // Fis DNA-binding-site 199 bases upstream of nrdAp // Fis DNA-binding-site 269 bases upstream of nrdAp // Fis DNA-binding-site 323 bases upstream of nrdAp
mdtF,multidrug efflux pump MdtEF-TolC,xenobiotic transmembrane transport // transmembrane transport // xenobiotic transport // response to toxic substance // bile acid and bile salt transport // response to antibiotic,,FliZ DNA-binding-site 9.5 bases downstream of gadEp2 // GadW DNA-binding-site 574.5 bases upstream of gadEp2 // GadX DNA-binding-site 29.5 bases upstream of gadEp3 // H-NS DNA-binding-site regulating gadEp2 // GadX DNA-binding-site 50.5 bases upstream of gadEp3 // GadW DNA-binding-site 595.5 bases upstream of gadEp2 // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 19.5 bases upstream of gadEp2 // GadE DNA-binding-site 30.5 bases upstream of gadEp2 // GadE DNA-binding-site 63.5 bases upstream of gadEp2 // GadE DNA-binding-site 198.5 bases upstream of gadEp2 // EvgA-Pasp DNA-binding-site regulating gadEp2 // YdeO DNA-binding-site regulating gadEp2
gpr,L-glyceraldehyde 3-phosphate reductase,DNA damage response // methylglyoxal catabolic process,superpathway of methylglyoxal degradation // methylglyoxal degradation III,
ycjG,L-Ala-D/L-Glu epimerase,cell wall organization // amino acid catabolic process // peptidoglycan turnover,muropeptide degradation,PgrR DNA-binding-site regulating ycjGp
deaD,ATP-dependent RNA helicase DeaD,response to cold // mRNA stabilization // response to radiation // positive regulation of translation // ribosomal large subunit assembly // RNA catabolic process // cellular response to cold,,
appC,cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase,transmembrane transport // aerobic electron transport chain // oxidative phosphorylation,,AppY DNA-binding-site regulating appCp2 // YdeO DNA-binding-site 27.5 bases upstream of appCp2 // YdeO DNA-binding-site 27.5 bases upstream of appCp2 // AppY DNA-binding-site regulating appCp2
cyoA,cytochrome <i>bo<sub>3</sub></i> ubiquinol:oxygen oxidoreductase,ATP synthesis coupled electron transport // electron transport chain // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain,proline to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer II // NADH to cytochrome <i>bo</i> oxidase electron transfer I // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer,Cra DNA-binding-site regulating cyoAp (BS0-10977) // HprR-P DNA-binding-site 69.5 bases downstream of cyoAp // CusR-Pasp DNA-binding-site 69.5 bases downstream of cyoAp // Cra DNA-binding-site 268.5 bases upstream of cyoAp // PdhR DNA-binding-site 177 bases upstream of cyoAp // Fnr DNA-binding-site 192.5 bases upstream of cyoAp // ArcA-Pasp54 DNA-binding-site 200 bases upstream of cyoAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 213 bases upstream of cyoAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 191.5 bases upstream of cyoAp // CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 37.5 bases upstream of cyoAp
metA,homoserine O-succinyltransferase,L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine // methionine biosynthetic process,"aspartate superpathway // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // L-methionine biosynthesis I",MetJ-SAM DNA-binding-site 20.5 bases downstream of metAp1 // MetJ-SAM DNA-binding-site 4.5 bases downstream of metAp1